horizon,feature_set,feature,coefficient,abs_coefficient
1min,price,spread,0.15583043927318513,0.15583043927318513
1min,price,best_yes_bid,-0.06124373571084512,0.06124373571084512
1min,price,best_no_ask,0.06124373571084436,0.06124373571084436
1min,price,midprice,-0.059543601918658,0.059543601918658
1min,price,best_no_bid,0.05783160844803927,0.05783160844803927
1min,price,best_yes_ask,-0.05783160844803901,0.05783160844803901
1min,local_depth,no_depth_top3,-8.088539077167063,8.088539077167063
1min,local_depth,yes_depth_top3,-4.497130179164005,4.497130179164005
1min,local_depth,yes_depth_top1,1.9865886833619255,1.9865886833619255
1min,local_depth,no_depth_top1,1.2728041457768087,1.2728041457768087
1min,local_depth,no_depth_top5,1.1866242709370998,1.1866242709370998
1min,local_depth,yes_depth_top5,-0.19461257153164768,0.19461257153164768
1min,total_depth,yes_total_depth,1.2360216155551689,1.2360216155551689
1min,total_depth,no_total_depth,-0.8252016024879629,0.8252016024879629
1min,total_depth,total_depth,-0.02784317858281535,0.02784317858281535
1min,imbalance,imbalance_top5,0.38012597817779853,0.38012597817779853
1min,imbalance,imbalance_top1,0.27014907840955643,0.27014907840955643
1min,imbalance,imbalance_top3,0.07025540282581584,0.07025540282581584
1min,price+local_depth,no_depth_top3,-8.543028427064703,8.543028427064703
1min,price+local_depth,yes_depth_top3,-3.9124308357115867,3.9124308357115867
1min,price+local_depth,yes_depth_top1,2.0720117188538953,2.0720117188538953
1min,price+local_depth,no_depth_top1,1.433075428686263,1.433075428686263
1min,price+local_depth,no_depth_top5,1.2064653599959305,1.2064653599959305
1min,price+local_depth,yes_depth_top5,-0.8107931212967048,0.8107931212967048
1min,price+local_depth,spread,-0.23585091136337258,0.23585091136337258
1min,price+local_depth,best_yes_ask,-0.04478735181375275,0.04478735181375275
1min,price+local_depth,best_no_bid,0.04478735181368874,0.04478735181368874
1min,price+local_depth,midprice,-0.042042360046039236,0.042042360046039236
1min,price+local_depth,best_yes_bid,-0.039298687251887884,0.039298687251887884
1min,price+local_depth,best_no_ask,0.039298687251875936,0.039298687251875936
1min,price+total_depth,yes_total_depth,1.5208474582047096,1.5208474582047096
1min,price+total_depth,no_total_depth,-1.2251852503907619,1.2251852503907619
1min,price+total_depth,total_depth,-0.17270388874731726,0.17270388874731726
1min,price+total_depth,best_yes_bid,-0.11889683326442343,0.11889683326442343
1min,price+total_depth,best_no_ask,0.11889683326442275,0.11889683326442275
1min,price+total_depth,midprice,-0.11807474889406608,0.11807474889406608
1min,price+total_depth,best_no_bid,0.11723541179481105,0.11723541179481105
1min,price+total_depth,best_yes_ask,-0.11723541179481092,0.11723541179481092
1min,price+total_depth,spread,0.08545156808424807,0.08545156808424807
1min,price+imbalance,imbalance_top5,0.263685838788387,0.263685838788387
1min,price+imbalance,imbalance_top1,0.26226130645825113,0.26226130645825113
1min,price+imbalance,imbalance_top3,0.15505045792936145,0.15505045792936145
1min,price+imbalance,spread,0.08185577815543828,0.08185577815543828
1min,price+imbalance,best_yes_bid,-0.054462044192262714,0.054462044192262714
1min,price+imbalance,best_no_ask,0.054462044192262096,0.054462044192262096
1min,price+imbalance,midprice,-0.05359778076232168,0.05359778076232168
1min,price+imbalance,best_yes_ask,-0.05272447889715882,0.05272447889715882
1min,price+imbalance,best_no_bid,0.052724478897158096,0.052724478897158096
1min,local_depth+total_depth,no_depth_top3,-7.196920827681958,7.196920827681958
1min,local_depth+total_depth,yes_depth_top3,-2.4015217658836927,2.4015217658836927
1min,local_depth+total_depth,yes_depth_top1,1.2067674526127374,1.2067674526127374
1min,local_depth+total_depth,yes_depth_top5,-1.1967740450940059,1.1967740450940059
1min,local_depth+total_depth,no_depth_top1,0.9231770002585528,0.9231770002585528
1min,local_depth+total_depth,yes_total_depth,0.8680800702111574,0.8680800702111574
1min,local_depth+total_depth,total_depth,0.4466583920526017,0.4466583920526017
1min,local_depth+total_depth,no_total_depth,0.12703730991816023,0.12703730991816023
1min,local_depth+total_depth,no_depth_top5,-0.11792695928476689,0.11792695928476689
1min,local_depth+imbalance,no_depth_top3,-8.443200406131487,8.443200406131487
1min,local_depth+imbalance,yes_depth_top3,-4.186489667698428,4.186489667698428
1min,local_depth+imbalance,no_depth_top1,1.846811001394179,1.846811001394179
1min,local_depth+imbalance,yes_depth_top1,1.7299228124952832,1.7299228124952832
1min,local_depth+imbalance,no_depth_top5,0.8676730465746623,0.8676730465746623
1min,local_depth+imbalance,imbalance_top1,0.19046520554742472,0.19046520554742472
1min,local_depth+imbalance,imbalance_top5,-0.0755598663894516,0.0755598663894516
1min,local_depth+imbalance,yes_depth_top5,-0.06468166652656032,0.06468166652656032
1min,local_depth+imbalance,imbalance_top3,-0.010634260254524647,0.010634260254524647
1min,total_depth+imbalance,yes_total_depth,1.1382932112933222,1.1382932112933222
1min,total_depth+imbalance,no_total_depth,-0.6941071106112187,0.6941071106112187
1min,total_depth+imbalance,imbalance_top5,0.4721642534541062,0.4721642534541062
1min,total_depth+imbalance,imbalance_top1,0.2622148158817601,0.2622148158817601
1min,total_depth+imbalance,imbalance_top3,-0.06532494705872596,0.06532494705872596
1min,total_depth+imbalance,total_depth,0.01780544224523885,0.01780544224523885
1min,price+local_depth+total_depth,no_depth_top3,-7.337148699594619,7.337148699594619
1min,price+local_depth+total_depth,yes_depth_top3,-2.5900924966147976,2.5900924966147976
1min,price+local_depth+total_depth,yes_depth_top1,1.326953394121378,1.326953394121378
1min,price+local_depth+total_depth,yes_depth_top5,-1.1855915811623643,1.1855915811623643
1min,price+local_depth+total_depth,no_depth_top1,1.1227714191797693,1.1227714191797693
1min,price+local_depth+total_depth,yes_total_depth,0.9005554473107353,0.9005554473107353
1min,price+local_depth+total_depth,total_depth,0.4238015640431876,0.4238015640431876
1min,price+local_depth+total_depth,no_depth_top5,-0.30645696169259945,0.30645696169259945
1min,price+local_depth+total_depth,spread,-0.1741934660751974,0.1741934660751974
1min,price+local_depth+total_depth,no_total_depth,0.07182287404816674,0.07182287404816674
1min,price+local_depth+total_depth,best_yes_ask,-0.008922755068048798,0.008922755068048798
1min,price+local_depth+total_depth,best_no_bid,0.00892275506804467,0.00892275506804467
1min,price+local_depth+total_depth,midprice,-0.006923465669847339,0.006923465669847339
1min,price+local_depth+total_depth,best_yes_bid,-0.004928186597682282,0.004928186597682282
1min,price+local_depth+total_depth,best_no_ask,0.004928186597677684,0.004928186597677684
1min,price+local_depth+imbalance,no_depth_top3,-8.664709558268779,8.664709558268779
1min,price+local_depth+imbalance,yes_depth_top3,-3.6920656402684306,3.6920656402684306
1min,price+local_depth+imbalance,no_depth_top1,2.0868334575248384,2.0868334575248384
1min,price+local_depth+imbalance,yes_depth_top1,1.7780341810766684,1.7780341810766684
1min,price+local_depth+imbalance,no_depth_top5,0.9221829512018531,0.9221829512018531
1min,price+local_depth+imbalance,yes_depth_top5,-0.7544316751660676,0.7544316751660676
1min,price+local_depth+imbalance,spread,-0.2519694396614225,0.2519694396614225
1min,price+local_depth+imbalance,imbalance_top1,0.21432906024489395,0.21432906024489395
1min,price+local_depth+imbalance,imbalance_top5,-0.044850414333323964,0.044850414333323964
1min,price+local_depth+imbalance,best_yes_ask,-0.044201239870820315,0.044201239870820315
1min,price+local_depth+imbalance,best_no_bid,0.04420123987076199,0.04420123987076199
1min,price+local_depth+imbalance,midprice,-0.04127289094047746,0.04127289094047746
1min,price+local_depth+imbalance,best_yes_bid,-0.03834640951195949,0.03834640951195949
1min,price+local_depth+imbalance,best_no_ask,0.03834640951195025,0.03834640951195025
1min,price+local_depth+imbalance,imbalance_top3,-0.0050214639095439864,0.0050214639095439864
1min,price+total_depth+imbalance,yes_total_depth,1.4149016296899328,1.4149016296899328
1min,price+total_depth+imbalance,no_total_depth,-1.0868378823603473,1.0868378823603473
1min,price+total_depth+imbalance,imbalance_top5,0.2844906509822274,0.2844906509822274
1min,price+total_depth+imbalance,imbalance_top1,0.2487065141425801,0.2487065141425801
1min,price+total_depth+imbalance,total_depth,-0.1257044787229087,0.1257044787229087
1min,price+total_depth+imbalance,best_yes_bid,-0.10340647012682502,0.10340647012682502
1min,price+total_depth+imbalance,best_no_ask,0.10340647012682433,0.10340647012682433
1min,price+total_depth+imbalance,midprice,-0.10304924552918295,0.10304924552918295
1min,price+total_depth+imbalance,best_yes_ask,-0.10267784900713203,0.10267784900713203
1min,price+total_depth+imbalance,best_no_bid,0.10267784900713146,0.10267784900713146
1min,price+total_depth+imbalance,spread,0.042985579281449394,0.042985579281449394
1min,price+total_depth+imbalance,imbalance_top3,0.031985997546119076,0.031985997546119076
1min,local_depth+total_depth+imbalance,no_depth_top3,-7.322576791961029,7.322576791961029
1min,local_depth+total_depth+imbalance,yes_depth_top3,-2.209571180841679,2.209571180841679
1min,local_depth+total_depth+imbalance,no_depth_top1,1.3886196391221757,1.3886196391221757
1min,local_depth+total_depth+imbalance,yes_depth_top5,-1.178224027261915,1.178224027261915
1min,local_depth+total_depth+imbalance,yes_depth_top1,0.9323853067640144,0.9323853067640144
1min,local_depth+total_depth+imbalance,yes_total_depth,0.8625161372690375,0.8625161372690375
1min,local_depth+total_depth+imbalance,total_depth,0.4461996711052404,0.4461996711052404
1min,local_depth+total_depth+imbalance,imbalance_top1,0.2026466905873909,0.2026466905873909
1min,local_depth+total_depth+imbalance,no_depth_top5,-0.1997361323976562,0.1997361323976562
1min,local_depth+total_depth+imbalance,no_total_depth,0.1298667483835271,0.1298667483835271
1min,local_depth+total_depth+imbalance,imbalance_top5,-0.026727944766420833,0.026727944766420833
1min,local_depth+total_depth+imbalance,imbalance_top3,0.001334054715052482,0.001334054715052482
1min,price+local_depth+total_depth+imbalance,no_depth_top3,-7.4533988596119505,7.4533988596119505
1min,price+local_depth+total_depth+imbalance,yes_depth_top3,-2.4667356653430783,2.4667356653430783
1min,price+local_depth+total_depth+imbalance,no_depth_top1,1.6940161499143367,1.6940161499143367
1min,price+local_depth+total_depth+imbalance,yes_depth_top5,-1.1575131933649079,1.1575131933649079
1min,price+local_depth+total_depth+imbalance,yes_depth_top1,1.0161505350376348,1.0161505350376348
1min,price+local_depth+total_depth+imbalance,yes_total_depth,0.8882400788027269,0.8882400788027269
1min,price+local_depth+total_depth+imbalance,total_depth,0.42393978974821495,0.42393978974821495
1min,price+local_depth+total_depth+imbalance,no_depth_top5,-0.3342858195151181,0.3342858195151181
1min,price+local_depth+total_depth+imbalance,imbalance_top1,0.23614941246975243,0.23614941246975243
1min,price+local_depth+total_depth+imbalance,spread,-0.19789365073466067,0.19789365073466067
1min,price+local_depth+total_depth+imbalance,no_total_depth,0.07983398382857286,0.07983398382857286
1min,price+local_depth+total_depth+imbalance,best_yes_ask,-0.007913660293405478,0.007913660293405478
1min,price+local_depth+total_depth+imbalance,best_no_bid,0.007913660293360637,0.007913660293360637
1min,price+local_depth+total_depth+imbalance,imbalance_top3,-0.007781250014374982,0.007781250014374982
1min,price+local_depth+total_depth+imbalance,midprice,-0.005644939494489614,0.005644939494489614
1min,price+local_depth+total_depth+imbalance,best_yes_bid,-0.003381054073500554,0.003381054073500554
1min,price+local_depth+total_depth+imbalance,best_no_ask,0.003381054073498079,0.003381054073498079
1min,price+local_depth+total_depth+imbalance,imbalance_top5,0.0002550513414684588,0.0002550513414684588
1min30s,price,spread,0.12719902251910548,0.12719902251910548
1min30s,price,best_yes_bid,-0.060519655545127685,0.060519655545127685
1min30s,price,best_no_ask,0.06051965554512608,0.06051965554512608
1min30s,price,midprice,-0.059143748317978515,0.059143748317978515
1min30s,price,best_no_bid,0.05775680017506816,0.05775680017506816
1min30s,price,best_yes_ask,-0.057756800175064786,0.057756800175064786
1min30s,local_depth,no_depth_top3,-5.152763056534249,5.152763056534249
1min30s,local_depth,yes_depth_top3,-4.243343114592938,4.243343114592938
1min30s,local_depth,yes_depth_top1,2.2222325426671836,2.2222325426671836
1min30s,local_depth,no_depth_top1,1.2024675752788787,1.2024675752788787
1min30s,local_depth,no_depth_top5,-0.7986081150577375,0.7986081150577375
1min30s,local_depth,yes_depth_top5,-0.2593107060777408,0.2593107060777408
1min30s,total_depth,yes_total_depth,1.2149015533546421,1.2149015533546421
1min30s,total_depth,no_total_depth,-0.8095547117224807,0.8095547117224807
1min30s,total_depth,total_depth,-0.026307558538026587,0.026307558538026587
1min30s,imbalance,imbalance_top5,0.41934574612562747,0.41934574612562747
1min30s,imbalance,imbalance_top1,0.28442830750797327,0.28442830750797327
1min30s,imbalance,imbalance_top3,-0.024040729913409355,0.024040729913409355
1min30s,price+local_depth,no_depth_top3,-5.0746894506821985,5.0746894506821985
1min30s,price+local_depth,yes_depth_top3,-3.7045802606692395,3.7045802606692395
1min30s,price+local_depth,yes_depth_top1,2.328696707742485,2.328696707742485
1min30s,price+local_depth,no_depth_top1,1.2588693887549967,1.2588693887549967
1min30s,price+local_depth,no_depth_top5,-1.200059503237079,1.200059503237079
1min30s,price+local_depth,yes_depth_top5,-0.8951536783076676,0.8951536783076676
1min30s,price+local_depth,spread,-0.2685796575303677,0.2685796575303677
1min30s,price+local_depth,best_yes_ask,-0.048286980169131535,0.048286980169131535
1min30s,price+local_depth,best_no_bid,0.04828698016909758,0.04828698016909758
1min30s,price+local_depth,midprice,-0.04515993490604152,0.04515993490604152
1min30s,price+local_depth,best_yes_bid,-0.04203474943324562,0.04203474943324562
1min30s,price+local_depth,best_no_ask,0.042034749433229594,0.042034749433229594
1min30s,price+total_depth,yes_total_depth,1.5059298497437827,1.5059298497437827
1min30s,price+total_depth,no_total_depth,-1.21999427578175,1.21999427578175
1min30s,price+total_depth,total_depth,-0.17545544765079604,0.17545544765079604
1min30s,price+total_depth,best_yes_bid,-0.12042516084054355,0.12042516084054355
1min30s,price+total_depth,best_no_ask,0.12042516084054351,0.12042516084054351
1min30s,price+total_depth,midprice,-0.1199519398529825,0.1199519398529825
1min30s,price+total_depth,best_yes_ask,-0.11946203679287627,0.11946203679287627
1min30s,price+total_depth,best_no_bid,0.11946203679287623,0.11946203679287623
1min30s,price+total_depth,spread,0.055033103955149126,0.055033103955149126
1min30s,price+imbalance,imbalance_top5,0.3165873212767592,0.3165873212767592
1min30s,price+imbalance,imbalance_top1,0.2787855078688582,0.2787855078688582
1min30s,price+imbalance,best_no_ask,0.0519480266186424,0.0519480266186424
1min30s,price+imbalance,best_yes_bid,-0.051948026618641716,0.051948026618641716
1min30s,price+imbalance,midprice,-0.05143175043987583,0.05143175043987583
1min30s,price+imbalance,spread,0.05104098055485016,0.05104098055485016
1min30s,price+imbalance,best_yes_ask,-0.050907549259941995,0.050907549259941995
1min30s,price+imbalance,best_no_bid,0.05090754925994159,0.05090754925994159
1min30s,price+imbalance,imbalance_top3,0.04677833511508942,0.04677833511508942
1min30s,local_depth+total_depth,no_depth_top3,-3.483302771490552,3.483302771490552
1min30s,local_depth+total_depth,no_depth_top5,-2.9056192719598397,2.9056192719598397
1min30s,local_depth+total_depth,yes_depth_top3,-2.395935064360398,2.395935064360398
1min30s,local_depth+total_depth,yes_depth_top1,1.5356293411609525,1.5356293411609525
1min30s,local_depth+total_depth,yes_depth_top5,-1.2415252029624042,1.2415252029624042
1min30s,local_depth+total_depth,yes_total_depth,0.8442933605551185,0.8442933605551185
1min30s,local_depth+total_depth,no_depth_top1,0.5742044489245671,0.5742044489245671
1min30s,local_depth+total_depth,total_depth,0.4633550544553314,0.4633550544553314
1min30s,local_depth+total_depth,no_total_depth,0.16741963677165914,0.16741963677165914
1min30s,local_depth+imbalance,no_depth_top3,-5.588363955055628,5.588363955055628
1min30s,local_depth+imbalance,yes_depth_top3,-3.8402348083674562,3.8402348083674562
1min30s,local_depth+imbalance,yes_depth_top1,1.9951303359819066,1.9951303359819066
1min30s,local_depth+imbalance,no_depth_top1,1.5980170489806613,1.5980170489806613
1min30s,local_depth+imbalance,no_depth_top5,-1.1395953416163114,1.1395953416163114
1min30s,local_depth+imbalance,imbalance_top1,0.166293936411047,0.166293936411047
1min30s,local_depth+imbalance,yes_depth_top5,-0.08938305454880904,0.08938305454880904
1min30s,local_depth+imbalance,imbalance_top5,-0.07576685773791851,0.07576685773791851
1min30s,local_depth+imbalance,imbalance_top3,-0.055878895435791165,0.055878895435791165
1min30s,total_depth+imbalance,yes_total_depth,1.1357329020304923,1.1357329020304923
1min30s,total_depth+imbalance,no_total_depth,-0.7010491267582871,0.7010491267582871
1min30s,total_depth+imbalance,imbalance_top5,0.48122641351452766,0.48122641351452766
1min30s,total_depth+imbalance,imbalance_top1,0.27417247084338037,0.27417247084338037
1min30s,total_depth+imbalance,imbalance_top3,-0.12931165329382246,0.12931165329382246
1min30s,total_depth+imbalance,total_depth,0.012189248923377643,0.012189248923377643
1min30s,price+local_depth+total_depth,no_depth_top3,-3.5247031631021275,3.5247031631021275
1min30s,price+local_depth+total_depth,no_depth_top5,-3.177820835488803,3.177820835488803
1min30s,price+local_depth+total_depth,yes_depth_top3,-2.472613522691504,2.472613522691504
1min30s,price+local_depth+total_depth,yes_depth_top1,1.6377510265481876,1.6377510265481876
1min30s,price+local_depth+total_depth,yes_depth_top5,-1.2907462101306901,1.2907462101306901
1min30s,price+local_depth+total_depth,yes_total_depth,0.8726458287739997,0.8726458287739997
1min30s,price+local_depth+total_depth,no_depth_top1,0.7429614816061484,0.7429614816061484
1min30s,price+local_depth+total_depth,total_depth,0.44222864777947113,0.44222864777947113
1min30s,price+local_depth+total_depth,spread,-0.1946215594443252,0.1946215594443252
1min30s,price+local_depth+total_depth,no_total_depth,0.1174361079256232,0.1174361079256232
1min30s,price+local_depth+total_depth,best_yes_ask,-0.009032262734458724,0.009032262734458724
1min30s,price+local_depth+total_depth,best_no_bid,0.009032262734439848,0.009032262734439848
1min30s,price+local_depth+total_depth,midprice,-0.0067965735455867635,0.0067965735455867635
1min30s,price+local_depth+total_depth,best_no_ask,0.004565503158931194,0.004565503158931194
1min30s,price+local_depth+total_depth,best_yes_bid,-0.004565503158928299,0.004565503158928299
1min30s,price+local_depth+imbalance,no_depth_top3,-5.372548717986802,5.372548717986802
1min30s,price+local_depth+imbalance,yes_depth_top3,-3.3636574558486214,3.3636574558486214
1min30s,price+local_depth+imbalance,yes_depth_top1,2.1161821129351788,2.1161821129351788
1min30s,price+local_depth+imbalance,no_depth_top1,1.7319003579716485,1.7319003579716485
1min30s,price+local_depth+imbalance,no_depth_top5,-1.5688097187946368,1.5688097187946368
1min30s,price+local_depth+imbalance,yes_depth_top5,-0.8167502023169657,0.8167502023169657
1min30s,price+local_depth+imbalance,spread,-0.27817573458285394,0.27817573458285394
1min30s,price+local_depth+imbalance,imbalance_top1,0.18234762969255658,0.18234762969255658
1min30s,price+local_depth+imbalance,imbalance_top3,-0.05679354179395266,0.05679354179395266
1min30s,price+local_depth+imbalance,best_yes_ask,-0.046787555273990596,0.046787555273990596
1min30s,price+local_depth+imbalance,best_no_bid,0.04678755527392348,0.04678755527392348
1min30s,price+local_depth+imbalance,midprice,-0.043552544146824995,0.043552544146824995
1min30s,price+local_depth+imbalance,imbalance_top5,-0.0430312626395899,0.0430312626395899
1min30s,price+local_depth+imbalance,best_yes_bid,-0.04031986561906761,0.04031986561906761
1min30s,price+local_depth+imbalance,best_no_ask,0.040319865619029435,0.040319865619029435
1min30s,price+total_depth+imbalance,yes_total_depth,1.4240814282044572,1.4240814282044572
1min30s,price+total_depth+imbalance,no_total_depth,-1.1080071944920005,1.1080071944920005
1min30s,price+total_depth+imbalance,imbalance_top5,0.29949203348198106,0.29949203348198106
1min30s,price+total_depth+imbalance,imbalance_top1,0.25939282416989207,0.25939282416989207
1min30s,price+total_depth+imbalance,total_depth,-0.1357817761628662,0.1357817761628662
1min30s,price+total_depth+imbalance,best_yes_ask,-0.10561715310213453,0.10561715310213453
1min30s,price+total_depth+imbalance,best_no_bid,0.1056171531021339,0.1056171531021339
1min30s,price+total_depth+imbalance,midprice,-0.10560440041766787,0.10560440041766787
1min30s,price+total_depth+imbalance,best_no_ask,0.10557805260213499,0.10557805260213499
1min30s,price+total_depth+imbalance,best_yes_bid,-0.10557805260213445,0.10557805260213445
1min30s,price+total_depth+imbalance,imbalance_top3,-0.0364814218025823,0.0364814218025823
1min30s,price+total_depth+imbalance,spread,0.009656657907514993,0.009656657907514993
1min30s,local_depth+total_depth+imbalance,no_depth_top3,-3.8043157607845384,3.8043157607845384
1min30s,local_depth+total_depth+imbalance,no_depth_top5,-3.25003671023774,3.25003671023774
1min30s,local_depth+total_depth+imbalance,yes_depth_top3,-2.1987257466502603,2.1987257466502603
1min30s,local_depth+total_depth+imbalance,yes_depth_top1,1.3203589893225582,1.3203589893225582
1min30s,local_depth+total_depth+imbalance,no_depth_top1,0.9829707748777274,0.9829707748777274
1min30s,local_depth+total_depth+imbalance,yes_depth_top5,-0.9720494443406672,0.9720494443406672
1min30s,local_depth+total_depth+imbalance,yes_total_depth,0.8375172799458018,0.8375172799458018
1min30s,local_depth+total_depth+imbalance,total_depth,0.4679670537794977,0.4679670537794977
