horizon,horizon_seconds,feature_set,n_features,roc_auc_val,pr_auc_val,roc_auc_test,pr_auc_test,best_decision_threshold_by_val_f1,val_accuracy_at_best_threshold,val_precision_at_best_threshold,val_recall_at_best_threshold,val_f1_at_best_threshold,test_accuracy_at_best_threshold,test_precision_at_best_threshold,test_recall_at_best_threshold,test_f1_at_best_threshold
10min,600,local_depth+total_depth+imbalance,12,0.8998912643959812,0.44394135562101755,0.8861897377655469,0.32566655104696096,0.8,0.9225880993645291,0.3581780538302277,0.6528301886792452,0.4625668449197861,0.904544656957361,0.38191881918819187,0.49759615384615385,0.4321503131524008
10min,600,local_depth+total_depth,9,0.9026448787061995,0.44606013818018414,0.8848460774035732,0.32340898849428346,0.7,0.911419218178317,0.33668341708542715,0.7584905660377359,0.46635730858468677,0.8933146165994034,0.3670360110803324,0.6370192307692307,0.46572934973637964
10min,600,price+local_depth+total_depth+imbalance,18,0.9037506125949522,0.42943341483252684,0.8853966459907686,0.3162983928399207,0.8,0.919892162526478,0.3486973947895792,0.6566037735849056,0.45549738219895286,0.9017371468678715,0.37919463087248323,0.5432692307692307,0.44664031620553357
10min,600,price+local_depth+total_depth,15,0.9075961774074982,0.4374909968863185,0.8831242992763435,0.3134322248580529,0.8,0.9202772963604853,0.3488843813387424,0.6490566037735849,0.45382585751978893,0.9048955957185472,0.3902439024390244,0.5384615384615384,0.45252525252525255
7min30s,450,local_depth+total_depth+imbalance,12,0.9094028639064557,0.4045467784788692,0.8952838687371869,0.3110210483790509,0.8,0.9182027649769585,0.33874239350912777,0.6254681647940075,0.4394736842105263,0.9029550620737892,0.34375,0.4857142857142857,0.4025834230355221
7min30s,450,local_depth+total_depth,9,0.9109408624768524,0.4073818634864393,0.8946751785896894,0.30996530666490113,0.7,0.9105222734254992,0.333889816360601,0.7490636704119851,0.4618937644341801,0.8971848225214198,0.3592233009708738,0.6727272727272727,0.46835443037974683
7min,420,local_depth+total_depth+imbalance,12,0.9134082048386728,0.38677047874725595,0.8994517561183701,0.30960991454441633,0.8,0.9178660525810785,0.33535353535353535,0.6264150943396226,0.4368421052631579,0.9037218242180675,0.34363636363636363,0.49868073878627966,0.4068891280947255
8min30s,510,local_depth+total_depth+imbalance,12,0.8988257404566548,0.40488812503891264,0.890661936821401,0.30923355072108827,0.8,0.9163783160322952,0.3186372745490982,0.6259842519685039,0.42231075697211157,0.9042199264577132,0.35261194029850745,0.48586118251928023,0.40864864864864864
8min30s,510,local_depth+total_depth,9,0.8998274973106132,0.40558370319696485,0.8899354573198122,0.30857699925722387,0.7,0.9008073817762399,0.29595015576323985,0.7480314960629921,0.42410714285714285,0.8956399929959726,0.3548387096774194,0.6503856041131105,0.4591651542649728
9min30s,570,local_depth+total_depth,9,0.8984799353157404,0.42609025290427827,0.8821969520745965,0.3081667542252121,0.7,0.909545804464973,0.3277870216306156,0.7490494296577946,0.45601851851851855,0.8942661756970016,0.35614525139664804,0.6423173803526449,0.4582210242587601
7min,420,local_depth+total_depth,9,0.9152232793414157,0.38826496666786653,0.8986820224985386,0.30797337323120744,0.7,0.9025139128766072,0.31045241809672386,0.7509433962264151,0.4392935982339956,0.8974314170889394,0.356353591160221,0.6807387862796834,0.46781504986400724
9min30s,570,local_depth+total_depth+imbalance,12,0.8967618560189426,0.42493086587018514,0.8828886266296128,0.3078878999142066,0.8,0.9195535026943803,0.3408624229979466,0.6311787072243346,0.44266666666666665,0.9040855689987726,0.3626373626373626,0.4987405541561713,0.41993637327677624
9min,540,local_depth+total_depth,9,0.8982330030135433,0.41542850857119756,0.8856039210841592,0.3067683618787134,0.7,0.9015195229851894,0.30407523510971785,0.7404580152671756,0.4311111111111111,0.8950411775013142,0.3557422969187675,0.6463104325699746,0.45889792231255644
6min30s,390,local_depth+total_depth+imbalance,12,0.9185168024505451,0.3788968905955169,0.9035966830111898,0.3053450608906606,0.8,0.917337936325278,0.3373015873015873,0.6367041198501873,0.4409857328145266,0.9050113497468133,0.33754512635379064,0.5137362637362637,0.4074074074074074
9min,540,local_depth+total_depth+imbalance,12,0.8966411904500524,0.4118309450415285,0.8859448516138175,0.30497308831279113,0.8,0.9161377187920754,0.3245967741935484,0.6145038167938931,0.42480211081794195,0.9048536884527772,0.36059479553903345,0.49363867684478374,0.4167561761546724
