horizon,horizon_seconds,feature_set,n_features,decision_threshold,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
10min,600,imbalance,3,0.1,0.05103023300596957,0.05103023300596957,1.0,0.0971051667277391,0.07299526232672399,0.07299526232672399,1.0,0.13605887162714636
10min,600,imbalance,3,0.2,0.05103023300596957,0.05103023300596957,1.0,0.0971051667277391,0.07299526232672399,0.07299526232672399,1.0,0.13605887162714636
10min,600,imbalance,3,0.3,0.05103023300596957,0.05103023300596957,1.0,0.0971051667277391,0.07299526232672399,0.07269534679543459,0.9951923076923077,0.13549337260677466
10min,600,imbalance,3,0.4,0.29982668977469673,0.05184791278915182,0.7358490566037735,0.09687034277198212,0.36638006667836465,0.08452535760728218,0.78125,0.15254635062191974
10min,600,imbalance,3,0.5,0.5765453495089543,0.05723443223443223,0.4716981132075472,0.10208248264597795,0.7945253553254957,0.15587967183226983,0.4110576923076923,0.2260409781890284
10min,600,imbalance,3,0.6,0.7560177161563644,0.07032590051457976,0.30943396226415093,0.1146051712089448,0.8994560449201614,0.24429967426710097,0.18028846153846154,0.2074688796680498
10min,600,imbalance,3,0.7,0.8174465626805315,0.027662517289073305,0.07547169811320754,0.04048582995951417,0.9224425337778558,0.30303030303030304,0.04807692307692308,0.08298755186721991
10min,600,imbalance,3,0.8,0.9091084151742731,0.0273972602739726,0.022641509433962263,0.024793388429752067,0.9261273907703106,0.14285714285714285,0.002403846153846154,0.004728132387706856
10min,600,imbalance,3,0.9,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,imbalance,3,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,local_depth,6,0.1,0.5002888503755055,0.08804809052333805,0.939622641509434,0.16100872938894278,0.4374451658185647,0.11011738401341531,0.9471153846153846,0.19729594391587382
10min,600,local_depth,6,0.2,0.5459272097053726,0.09547738693467336,0.9320754716981132,0.17321178120617112,0.533602386383576,0.12583444592790388,0.90625,0.22098475967174677
10min,600,local_depth,6,0.3,0.5929135374542653,0.10508329773601026,0.9283018867924528,0.18879508825786645,0.5676434462186348,0.13138948884089272,0.8774038461538461,0.2285535378835316
