source_file,dataset_name,task,model,horizon,requested_horizon_seconds,realized_horizon_mean_seconds,panel_median_seconds,classification_deadband,active_max_flat_seconds,n_rows_total,n_train_task,n_val_task,n_test_task,n_features,n_constant_dropped,constant_cols,cv_best_mae,train_mae,train_rmse,train_r2,train_sign_acc,train_corr,val_mae,val_rmse,val_r2,val_sign_acc,val_corr,test_mae,test_rmse,test_r2,test_sign_acc,test_corr,best_params,fit_seconds,error,is_best_for_horizon_regression,saved_model_path_regression,saved_pred_path_regression,cv_best_pr_auc,train_acc,train_bal_acc,train_f1,train_pr_auc,val_acc,val_bal_acc,val_f1,val_pr_auc,test_acc,test_bal_acc,test_f1,test_pr_auc,is_best_for_horizon_classification,saved_model_path_classification,saved_pred_path_classification
KXNBAGAME-26MAR07GSWOKC-GSW-features.parquet,KXNBAGAME-26MAR07GSWOKC-GSW,regression,ridge_reg,5s,5.0,5.0,0.1,0.0,30.0,135005,94503,20250,20252,21,0,[],0.0024503624192479603,0.0014039785464119046,0.003231995314115523,0.05416058513897892,0.09700221157000306,0.23272486015075206,0.0030841581282494233,0.005805065272166455,0.03410203743496021,0.17960493827160492,0.2111987956129869,0.007339530172819157,0.01583868450945431,0.01569669699481191,0.25977681216669957,0.14049626606494373,"{""model__alpha"": 10.0}",1.3422000408172607,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07GSWOKC-GSW-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07GSWOKC-GSW-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07GSWOKC-GSW-features.parquet,KXNBAGAME-26MAR07GSWOKC-GSW,classification,logreg_clf,5s,5.0,5.0,0.1,0.0,30.0,68219,47753,10232,10234,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.7715790271759033,,,,,0.32387225518729207,0.6698846145791888,0.6760466146181419,0.42580316165221826,0.35934003133124137,0.7516614542611415,0.6327092255564875,0.4181360201511335,0.36507470982696577,0.6288841117842486,0.6327294545490647,0.4768595041322314,0.4464274770758322,0.0,,
KXNBAGAME-26MAR07GSWOKC-GSW-features.parquet,KXNBAGAME-26MAR07GSWOKC-GSW,regression,hist_gbrt_reg,5s,5.0,5.0,0.1,0.0,30.0,135005,94503,20250,20252,21,0,[],0.002045690718263972,0.0011349148191524814,0.002639674619392151,0.3690764237333496,0.12033480418611049,0.6609933269957818,0.005506605697909394,0.008348557366203357,-0.9977443303476317,0.14187654320987655,0.03887088972685179,0.008468497862034139,0.015779097559024534,0.023088889825039427,0.23918625320955955,0.19289177726170417,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.07545804977417,,0.0,,,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07GSWOKC-GSW-features.parquet,KXNBAGAME-26MAR07GSWOKC-GSW,classification,hist_gb_clf,5s,5.0,5.0,0.1,0.0,30.0,68219,47753,10232,10234,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.0576229095458984,,,,,0.34348997710405077,0.8722593344920738,0.6668338343519665,0.49259690567293296,0.7407949908772665,0.7935887412040656,0.506185101203156,0.027624309392265192,0.4243370792505264,0.7485831541919094,0.5451872307324754,0.1936696960200564,0.48072440016556334,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07GSWOKC-GSW-5s-classification-hist_gb_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07GSWOKC-GSW-5s-classification-best-preds.parquet
KXNBAGAME-26MAR07GSWOKC-OKC-features.parquet,KXNBAGAME-26MAR07GSWOKC-OKC,regression,ridge_reg,5s,5.0,5.0,0.1,0.0,30.0,135085,94559,20262,20264,21,0,[],0.0028347690897542305,0.0012029115601334271,0.003249254094022465,0.0484349255416211,0.07372116879408623,0.2200796934707164,0.0027953599738480463,0.00571037440765409,0.011875527938447927,0.1391274306583753,0.14161268026667323,0.007489731880557052,0.015633947538740024,0.009691797833232929,0.25138176075799445,0.15371162473973884,"{""model__alpha"": 10.0}",0.3338761329650879,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07GSWOKC-OKC-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07GSWOKC-OKC-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07GSWOKC-OKC-features.parquet,KXNBAGAME-26MAR07GSWOKC-OKC,classification,logreg_clf,5s,5.0,5.0,0.1,0.0,30.0,58479,40935,8771,8773,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.250091552734375,,,,,0.32956989830053296,0.7041895688286307,0.7108507345205393,0.43576720562881505,0.35108835763773183,0.6304868316041501,0.6371481025133798,0.4620746887966805,0.37781364474247453,0.7309928188760971,0.6194269838181302,0.4326923076923077,0.49124917129097995,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07GSWOKC-OKC-5s-classification-logreg_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07GSWOKC-OKC-5s-classification-best-preds.parquet
KXNBAGAME-26MAR07GSWOKC-OKC-features.parquet,KXNBAGAME-26MAR07GSWOKC-OKC,regression,hist_gbrt_reg,5s,5.0,5.0,0.1,0.0,30.0,135085,94559,20262,20264,21,0,[],0.001971341874292721,0.0009167059649839469,0.0025995838915370923,0.39091371795501295,0.09214352943664803,0.6809579242798326,0.003749429415587814,0.006716157611856043,-0.36686066468222966,0.12935544368769125,0.09305316811532414,0.009507651035064702,0.016359543468201867,-0.08436486037412538,0.24353533359652585,0.16592563469808136,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.930424690246582,,0.0,,,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07GSWOKC-OKC-features.parquet,KXNBAGAME-26MAR07GSWOKC-OKC,classification,hist_gb_clf,5s,5.0,5.0,0.1,0.0,30.0,58479,40935,8771,8773,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.037827968597412,,,,,0.3349288604293707,0.8966654452180286,0.6926375867576362,0.5472061657032755,0.7928620473919411,0.7531638353665489,0.5030917946886296,0.02784014369106421,0.33528935484246436,0.7152627379459706,0.5013252673852229,0.00873015873015873,0.44363176960064676,0.0,,
KXNBAGAME-26MAR07LACMEM-LAC-features.parquet,KXNBAGAME-26MAR07LACMEM-LAC,regression,ridge_reg,5s,5.0,5.0,0.1,0.0,30.0,123313,86319,18496,18498,21,0,[],0.004328485755109346,0.002744355501685963,0.006331847719578454,0.03924075385412784,0.14894750865973888,0.19809280355658151,0.005038495780248693,0.00925421454487395,0.02491666785137281,0.217560553633218,0.1802121862570853,0.012845308829339404,0.025585618337852396,0.018220528327608787,0.37971672613255486,0.148854261929565,"{""model__alpha"": 10.0}",0.29239606857299805,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07LACMEM-LAC-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07LACMEM-LAC-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07LACMEM-LAC-features.parquet,KXNBAGAME-26MAR07LACMEM-LAC,classification,logreg_clf,5s,5.0,5.0,0.1,0.0,30.0,74963,52474,11244,11245,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.3189420700073242,,,,,0.4150555831883513,0.6899797995197622,0.6862010319937631,0.48174577891048104,0.44382793695040623,0.7454642475987193,0.5840225274710444,0.3390300230946882,0.4365784857793303,0.5630057803468208,0.586705039152791,0.5787037037037037,0.525727919186109,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07LACMEM-LAC-5s-classification-logreg_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07LACMEM-LAC-5s-classification-best-preds.parquet
