n_train,n_val,n_test,positive_rate_train,positive_rate_val,positive_rate_test,roc_auc_val,pr_auc_val,brier_val,roc_auc_test,pr_auc_test,brier_test,best_threshold,val_f1_at_best_threshold,test_f1_at_best_threshold,test_precision_at_best_threshold,test_recall_at_best_threshold,test_name,horizon,feature_set,n_features,purge_steps,used_markets,skipped_markets
16803,5544,5588,0.006070344581324764,0.020562770562770564,0.11667859699355762,0.955057994895157,0.18822410900749945,0.08197521168506985,0.8088132389058476,0.2754519935470066,0.1257311939360845,0.9,0.30490018148820325,0.11292346298619825,0.3103448275862069,0.06901840490797546,purged_time_split_baseline,1min,price+local_depth+total_depth+imbalance,18,2,18,0
16803,5544,5588,0.006070344581324764,0.020562770562770564,0.11667859699355762,0.4596523537203968,0.020774640683417344,0.23118109637152268,0.5039092407354009,0.1098073414600796,0.2581410665153873,0.3,0.04276315789473684,0.21446563512054695,0.12148389726865064,0.9141104294478528,shuffled_label_placebo,1min,price+local_depth+total_depth+imbalance,18,2,18,0
16777,5504,5566,0.007808308994456697,0.0234375,0.1390585698886094,0.9555550748152155,0.20787311857457205,0.08440113138507686,0.7977399886977865,0.2994656883192292,0.1493190086431542,0.9,0.33986928104575165,0.15109343936381708,0.3275862068965517,0.09819121447028424,purged_time_split_baseline,1min30s,price+local_depth+total_depth+imbalance,18,3,18,0
16777,5504,5566,0.007808308994456697,0.0234375,0.1390585698886094,0.673564809807103,0.06387756731541494,0.23728897714801095,0.6251132378253161,0.1879520800429933,0.23972111259386425,0.6,0.12749003984063745,0.19223173140223832,0.1959731543624161,0.18863049095607234,shuffled_label_placebo,1min30s,price+local_depth+total_depth+imbalance,18,3,18,0
16745,5465,5544,0.009316213795162735,0.026532479414455627,0.15854978354978355,0.9570741508944776,0.23837112828234525,0.0824663144062193,0.7989679395493515,0.33669501446169436,0.1564295236948873,0.7,0.3680823680823681,0.3036988968202466,0.35347432024169184,0.26621160409556316,purged_time_split_baseline,2min,price+local_depth+total_depth+imbalance,18,4,18,0
16745,5465,5544,0.009316213795162735,0.026532479414455627,0.15854978354978355,0.4600894477573243,0.023194622068489646,0.2635569392771467,0.41226596041736013,0.12458210266615946,0.2762023462059511,0.3,0.05195270512361161,0.275243787354514,0.15970067530571272,0.9954493742889647,shuffled_label_placebo,2min,price+local_depth+total_depth+imbalance,18,4,18,0
16719,5426,5522,0.010467133201746515,0.028934758569848874,0.1705903658094893,0.9588906632109696,0.2647128804626701,0.0812321051387816,0.789147637193002,0.338134571774897,0.1719250459580231,0.8,0.3989290495314592,0.278580814717477,0.36551724137931035,0.22505307855626328,purged_time_split_baseline,2min30s,price+local_depth+total_depth+imbalance,18,5,18,0
16719,5426,5522,0.010467133201746515,0.028934758569848874,0.1705903658094893,0.38196130957058044,0.02187354138792612,0.2270434149512041,0.4591582529042546,0.14478594325784794,0.2851371063036171,0.1,0.056525652565256525,0.2917316692667707,0.17099487929773227,0.9925690021231423,shuffled_label_placebo,2min30s,price+local_depth+total_depth+imbalance,18,5,18,0
16690,5386,5501,0.01030557219892151,0.030263646490902338,0.18669332848572986,0.9596064598654606,0.29795996373750105,0.07913711581763884,0.7937565481659911,0.3681133382807239,0.17429102043764585,0.8,0.4169986719787517,0.28923076923076924,0.39297658862876256,0.22882181110029212,purged_time_split_baseline,3min,price+local_depth+total_depth+imbalance,18,6,18,0
16690,5386,5501,0.01030557219892151,0.030263646490902338,0.18669332848572986,0.4493304156109891,0.02722260191597574,0.2408620200182588,0.48977430563868096,0.18565677468346847,0.23991625732371533,0.2,0.06045994065281899,0.333441663958401,0.20011702750146285,0.9990262901655307,shuffled_label_placebo,3min,price+local_depth+total_depth+imbalance,18,6,18,0
